filename,wdith,height,class,xmin,ymin,xmax,ymax
C1_P01_N1_S2_1.JPG,1363,2188,1,1008,1552,1260,1928
C1_P01_N1_S2_1.JPG,1363,2188,1,1028,928,1280,1304
C1_P01_N1_S2_1.JPG,1363,2188,1,24,872,268,1264
C1_P01_N1_S2_1.JPG,1363,2188,1,280,1568,532,1944
C1_P01_N1_S2_1.JPG,1363,2188,1,292,872,544,1248
C1_P01_N1_S2_1.JPG,1363,2188,1,40,1560,292,1936
C1_P01_N1_S2_1.JPG,1363,2188,1,528,900,780,1276
C1_P01_N1_S2_1.JPG,1363,2188,1,536,1556,788,1932
C1_P01_N1_S2_1.JPG,1363,2188,1,768,1564,1020,1940
C1_P01_N1_S2_1.JPG,1363,2188,1,780,908,1032,1284
C1_P01_N1_S2_2.JPG,3264,2448,1,1372,1556,1872,2304
C1_P01_N1_S2_2.JPG,3264,2448,1,1392,256,1892,1004
C1_P01_N1_S2_2.JPG,3264,2448,1,1840,1568,2340,2316
C1_P01_N1_S2_2.JPG,3264,2448,1,1868,260,2368,1008
C1_P01_N1_S2_2.JPG,3264,2448,1,2280,1552,2780,2300
C1_P01_N1_S2_2.JPG,3264,2448,1,2372,272,2872,1020
C1_P01_N1_S2_2.JPG,3264,2448,1,348,196,848,944
C1_P01_N1_S2_2.JPG,3264,2448,1,416,1572,916,2320
C1_P01_N1_S2_2.JPG,3264,2448,1,864,236,1364,984
C1_P01_N1_S2_2.JPG,3264,2448,1,896,1560,1396,2308
C1_P01_N1_S3_1.JPG,2308,2448,1,1012,1808,1288,2256
C1_P01_N1_S3_1.JPG,2308,2448,1,1268,292,1544,740
C1_P01_N1_S3_1.JPG,2308,2448,1,1284,1068,1560,1516
C1_P01_N1_S3_1.JPG,2308,2448,1,1552,1068,1828,1516
C1_P01_N1_S3_1.JPG,2308,2448,1,1580,308,1856,756
C1_P01_N1_S3_1.JPG,2308,2448,1,1812,1844,2088,2292
C1_P01_N1_S3_1.JPG,2308,2448,1,1824,1068,2100,1516
C1_P01_N1_S3_1.JPG,2308,2448,1,1884,296,2160,744
C1_P01_N1_S3_1.JPG,2308,2448,1,688,264,964,712
C1_P01_N1_S3_1.JPG,2308,2448,1,728,1048,1004,1496
C1_P01_N1_S3_1.JPG,2308,2448,1,740,1788,1016,2236
C1_P01_N1_S3_1.JPG,2308,2448,1,992,284,1268,732
C1_P01_N1_S3_1.JPG,2308,2448,1,996,1060,1272,1508
C1_P01_N1_S3_1.JPG,2308,2448,2,1276,1828,1552,2276
C1_P01_N1_S3_1.JPG,2308,2448,2,1548,1836,1824,2284
C1_P01_N1_S3_2.JPG,1849,2089,1,1236,812,1504,1216
C1_P01_N1_S3_2.JPG,1849,2089,1,1240,96,1508,500
C1_P01_N1_S3_2.JPG,1849,2089,1,1468,1460,1736,1864
C1_P01_N1_S3_2.JPG,1849,2089,1,1484,804,1752,1208
C1_P01_N1_S3_2.JPG,1849,2089,1,1492,104,1760,508
C1_P01_N1_S3_2.JPG,1849,2089,1,452,56,720,460
C1_P01_N1_S3_2.JPG,1849,2089,1,484,772,752,1176
C1_P01_N1_S3_2.JPG,1849,2089,1,504,1424,772,1828
C1_P01_N1_S3_2.JPG,1849,2089,1,736,72,1004,476
C1_P01_N1_S3_2.JPG,1849,2089,1,740,796,1008,1200
C1_P01_N1_S3_2.JPG,1849,2089,1,772,1432,1040,1836
C1_P01_N1_S3_2.JPG,1849,2089,1,980,84,1248,488
C1_P01_N1_S3_2.JPG,1849,2089,1,984,804,1252,1208
C1_P01_N1_S3_2.JPG,1849,2089,2,1004,1448,1272,1852
C1_P01_N1_S3_2.JPG,1849,2089,2,1228,1452,1496,1856
C1_P01_N1_S5_1.JPG,1572,2448,1,1036,2096,1256,2408
C1_P01_N1_S5_1.JPG,1572,2448,1,1052,32,1272,336
C1_P01_N1_S5_1.JPG,1572,2448,1,1068,576,1260,856
C1_P01_N1_S5_1.JPG,1572,2448,1,1252,1116,1460,1424
C1_P01_N1_S5_1.JPG,1572,2448,1,1252,2076,1472,2388
C1_P01_N1_S5_1.JPG,1572,2448,1,1260,584,1452,864
C1_P01_N1_S5_1.JPG,1572,2448,1,1272,52,1448,348
C1_P01_N1_S5_1.JPG,1572,2448,1,456,4,676,308
C1_P01_N1_S5_1.JPG,1572,2448,1,464,1056,672,1396
C1_P01_N1_S5_1.JPG,1572,2448,1,464,2116,664,2428
C1_P01_N1_S5_1.JPG,1572,2448,1,468,544,672,840
C1_P01_N1_S5_1.JPG,1572,2448,1,480,1580,688,1912
C1_P01_N1_S5_1.JPG,1572,2448,1,652,2104,852,2436
C1_P01_N1_S5_1.JPG,1572,2448,1,656,8,876,312
C1_P01_N1_S5_1.JPG,1572,2448,1,672,1584,880,1916
C1_P01_N1_S5_1.JPG,1572,2448,1,676,556,868,836
C1_P01_N1_S5_1.JPG,1572,2448,1,684,1100,892,1408
C1_P01_N1_S5_1.JPG,1572,2448,1,840,2120,1040,2432
C1_P01_N1_S5_1.JPG,1572,2448,1,864,24,1084,328
C1_P01_N1_S5_1.JPG,1572,2448,1,884,564,1076,844
C1_P01_N1_S5_1.JPG,1572,2448,2,1068,1108,1276,1416
C1_P01_N1_S5_1.JPG,1572,2448,2,876,1108,1084,1416
C1_P01_N1_S5_1.JPG,1572,2448,5,1060,1612,1260,1928
C1_P01_N1_S5_1.JPG,1572,2448,5,1252,1596,1452,1912
C1_P01_N1_S5_1.JPG,1572,2448,5,868,1612,1068,1928
C1_P01_N2_S2_1.JPG,3264,2448,1,1028,20,1488,740
C1_P01_N2_S2_1.JPG,3264,2448,1,1080,1296,1540,1972
C1_P01_N2_S2_1.JPG,3264,2448,1,1492,40,1952,760
C1_P01_N2_S2_1.JPG,3264,2448,1,1940,60,2400,780
C1_P01_N2_S2_1.JPG,3264,2448,1,2328,1348,2788,2024
C1_P01_N2_S2_1.JPG,3264,2448,1,2388,76,2848,796
C1_P01_N2_S2_1.JPG,3264,2448,1,564,12,1024,732
C1_P01_N2_S2_1.JPG,3264,2448,1,592,1200,1052,1972
C1_P01_N2_S2_1.JPG,3264,2448,2,1484,1308,1944,1984
C1_P01_N2_S2_1.JPG,3264,2448,2,1908,1316,2368,1992
C1_P01_N2_S3_1.JPG,2348,2448,1,1276,180,1588,672
C1_P01_N2_S3_1.JPG,2348,2448,1,1592,188,1904,680
C1_P01_N2_S3_1.JPG,2348,2448,1,1860,1092,2172,1588
C1_P01_N2_S3_1.JPG,2348,2448,1,1920,200,2232,692
C1_P01_N2_S3_1.JPG,2348,2448,1,632,144,944,636
C1_P01_N2_S3_1.JPG,2348,2448,1,648,976,960,1508
C1_P01_N2_S3_1.JPG,2348,2448,1,672,1772,984,2268
C1_P01_N2_S3_1.JPG,2348,2448,1,944,1788,1256,2284
C1_P01_N2_S3_1.JPG,2348,2448,1,960,152,1272,644
C1_P01_N2_S3_1.JPG,2348,2448,1,980,1048,1292,1544
C1_P01_N2_S3_1.JPG,2348,2448,2,1264,1056,1576,1552
C1_P01_N2_S3_1.JPG,2348,2448,2,1560,1068,1872,1564
C1_P01_N2_S3_1.JPG,2348,2448,5,1228,1836,1540,2332
C1_P01_N2_S3_1.JPG,2348,2448,5,1508,1848,1820,2344
C1_P01_N2_S3_1.JPG,2348,2448,5,1816,1864,2128,2360
C1_P01_N2_S4_1.JPG,1778,2448,1,1132,104,1392,508
C1_P01_N2_S4_1.JPG,1778,2448,1,1132,1968,1380,2332
C1_P01_N2_S4_1.JPG,1778,2448,1,1380,104,1640,508
C1_P01_N2_S4_1.JPG,1778,2448,1,1384,816,1644,1220
C1_P01_N2_S4_1.JPG,1778,2448,1,1392,1972,1640,2336
C1_P01_N2_S4_1.JPG,1778,2448,1,356,60,616,464
C1_P01_N2_S4_1.JPG,1778,2448,1,404,724,664,1164
C1_P01_N2_S4_1.JPG,1778,2448,1,456,1372,716,1776
C1_P01_N2_S4_1.JPG,1778,2448,1,484,1956,712,2332
C1_P01_N2_S4_1.JPG,1778,2448,1,624,84,884,488
C1_P01_N2_S4_1.JPG,1778,2448,1,664,744,924,1184
C1_P01_N2_S4_1.JPG,1778,2448,1,684,1372,944,1776
C1_P01_N2_S4_1.JPG,1778,2448,1,708,1960,936,2336
C1_P01_N2_S4_1.JPG,1778,2448,1,880,100,1140,504
C1_P01_N2_S4_1.JPG,1778,2448,1,920,1996,1148,2332
C1_P01_N2_S4_1.JPG,1778,2448,2,1140,820,1400,1224
C1_P01_N2_S4_1.JPG,1778,2448,2,912,752,1172,1192
C1_P01_N2_S4_1.JPG,1778,2448,5,1152,1432,1368,1788
C1_P01_N2_S4_1.JPG,1778,2448,5,1384,1440,1600,1796
C1_P01_N2_S4_1.JPG,1778,2448,5,924,1428,1140,1784
C1_P01_N3_S2_1.JPG,3264,2448,1,1064,1344,1472,2044
C1_P01_N3_S2_1.JPG,3264,2448,1,1080,200,1524,912
C1_P01_N3_S2_1.JPG,3264,2448,1,2448,260,2856,960
C1_P01_N3_S2_1.JPG,3264,2448,1,596,52,1040,872
C1_P01_N3_S2_1.JPG,3264,2448,1,656,1316,1064,2016
C1_P01_N3_S2_1.JPG,3264,2448,2,1556,216,1964,916
C1_P01_N3_S2_1.JPG,3264,2448,2,2004,240,2412,940
C1_P01_N3_S2_1.JPG,3264,2448,5,1484,1408,1892,2048
C1_P01_N3_S2_1.JPG,3264,2448,5,1908,1448,2284,2076
