               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097161,             0.23314,             0.05286,             0.95483,             0.06195,            0.061202,            0.018158,            0.068231,             0.13216,             0.02965,           0.0033263,           0.0033263,            0.070064
                   1,            0.075183,             0.19842,            0.031036,             0.98036,            0.078226,            0.080936,            0.039998,            0.060832,             0.13081,            0.026034,           0.0066595,           0.0066595,            0.040063
                   2,            0.073332,             0.21662,            0.029796,             0.94438,            0.072605,            0.056454,            0.018288,            0.062653,               0.134,             0.02545,           0.0099921,           0.0099921,            0.010063
                   3,            0.065868,             0.19362,            0.029097,             0.97858,             0.07969,            0.098839,            0.049451,             0.05393,             0.11959,            0.025015,            0.009998,            0.009998,            0.009998
                   4,            0.058357,             0.17653,             0.02857,            0.053779,             0.71798,            0.095397,             0.05723,            0.045966,             0.11481,            0.025092,            0.009998,            0.009998,            0.009998
                   5,            0.053731,             0.16906,            0.027395,            0.055794,             0.73019,            0.097489,            0.067511,            0.045459,             0.10699,            0.024723,           0.0099965,           0.0099965,           0.0099965
                   6,            0.049305,             0.16329,            0.027973,            0.055168,             0.71907,              0.1014,            0.070674,            0.042007,              0.1035,            0.024371,           0.0099945,           0.0099945,           0.0099945
                   7,            0.050084,             0.16619,            0.027106,            0.057499,             0.74512,             0.10718,            0.075239,             0.04098,             0.10602,            0.024268,           0.0099921,           0.0099921,           0.0099921
                   8,              0.0478,             0.16156,            0.026909,             0.90606,             0.10977,             0.11602,            0.077884,            0.041039,             0.10268,            0.024162,           0.0099893,           0.0099893,           0.0099893
                   9,            0.047126,             0.16015,            0.025659,             0.43396,             0.23721,             0.12534,            0.087945,            0.039908,             0.10285,            0.023357,            0.009986,            0.009986,            0.009986
                  10,            0.047222,             0.16537,            0.025266,             0.43804,             0.27211,             0.14462,              0.1006,            0.037559,             0.10006,            0.022136,           0.0099822,           0.0099822,           0.0099822
                  11,            0.046799,             0.15976,            0.023546,             0.94711,             0.11886,             0.16385,             0.11559,            0.037841,             0.10014,            0.020992,           0.0099781,           0.0099781,           0.0099781
                  12,            0.046517,             0.15849,            0.022827,             0.45181,              0.2693,             0.16844,             0.11926,            0.039089,             0.10478,            0.020036,           0.0099735,           0.0099735,           0.0099735
                  13,            0.045637,             0.15775,            0.021753,             0.45609,             0.34404,             0.18619,             0.12358,            0.040978,             0.10561,            0.019125,           0.0099685,           0.0099685,           0.0099685
                  14,            0.046252,             0.15548,             0.02072,             0.97795,              0.1301,             0.20541,             0.13421,            0.039536,              0.0993,            0.018738,            0.009963,            0.009963,            0.009963
                  15,            0.046659,             0.15681,            0.019886,             0.97613,             0.12885,             0.20673,             0.13896,            0.039509,             0.10732,            0.017997,           0.0099571,           0.0099571,           0.0099571
                  16,            0.044417,             0.15584,            0.019354,             0.97311,             0.14107,             0.21902,             0.14524,            0.038812,             0.10475,            0.017384,           0.0099508,           0.0099508,           0.0099508
                  17,            0.045199,             0.15356,            0.018596,             0.98602,             0.13904,             0.22556,             0.15509,            0.036435,            0.098068,            0.016998,            0.009944,            0.009944,            0.009944
                  18,            0.043326,               0.149,            0.017999,             0.99046,             0.14761,             0.24124,             0.14759,            0.039376,             0.10248,            0.016857,           0.0099368,           0.0099368,           0.0099368
                  19,             0.04522,             0.15425,            0.017983,             0.98401,             0.16143,             0.25085,             0.15504,            0.041911,             0.10349,            0.016305,           0.0099291,           0.0099291,           0.0099291
                  20,            0.044953,             0.15464,            0.017331,             0.60318,             0.27864,             0.24806,             0.17386,            0.038122,             0.10111,             0.01628,           0.0099211,           0.0099211,           0.0099211
                  21,            0.043083,             0.15178,            0.016429,             0.60761,             0.24824,             0.25975,             0.16302,            0.040104,             0.10617,             0.01646,           0.0099126,           0.0099126,           0.0099126
                  22,            0.044623,             0.15399,            0.016391,             0.59821,             0.26264,             0.26359,             0.17685,            0.039369,            0.098435,            0.015719,           0.0099037,           0.0099037,           0.0099037
                  23,              0.0453,              0.1547,            0.016001,             0.60852,             0.27019,             0.26984,             0.18443,            0.038412,             0.10052,            0.015581,           0.0098943,           0.0098943,           0.0098943
                  24,            0.043576,             0.14903,            0.015427,             0.64561,             0.27004,              0.2915,             0.18423,            0.038393,              0.1035,            0.015188,           0.0098845,           0.0098845,           0.0098845
                  25,             0.04407,             0.15443,            0.015248,             0.66118,              0.3005,             0.31408,             0.20096,            0.038666,            0.099918,            0.014824,           0.0098743,           0.0098743,           0.0098743
                  26,            0.043057,             0.14924,            0.014805,             0.71288,             0.30926,             0.35346,             0.21886,            0.037571,            0.099701,            0.014136,           0.0098637,           0.0098637,           0.0098637
                  27,            0.043499,             0.14562,            0.014459,             0.70589,             0.30629,             0.35439,             0.24477,            0.035605,             0.09833,            0.013953,           0.0098527,           0.0098527,           0.0098527
                  28,            0.042835,             0.14809,            0.013884,             0.72926,              0.2983,             0.37456,             0.25333,            0.036319,             0.10269,            0.014567,           0.0098412,           0.0098412,           0.0098412
                  29,            0.042163,             0.14755,            0.013858,             0.72193,             0.29575,             0.38271,             0.24803,             0.03818,             0.10148,            0.014109,           0.0098293,           0.0098293,           0.0098293
                  30,            0.042848,             0.15025,            0.013128,             0.92468,             0.26561,             0.39013,             0.27225,            0.035765,            0.097099,            0.014097,            0.009817,            0.009817,            0.009817
                  31,            0.042646,             0.14807,             0.01337,             0.81765,             0.27465,             0.39046,             0.26385,            0.035833,             0.09538,            0.013905,           0.0098042,           0.0098042,           0.0098042
                  32,            0.042459,             0.14563,            0.012836,             0.95546,             0.26431,             0.40293,             0.28435,            0.036124,            0.099932,            0.013672,           0.0097911,           0.0097911,           0.0097911
                  33,            0.041943,             0.14423,            0.012631,             0.94267,             0.30369,             0.41996,             0.28943,            0.035498,            0.096267,            0.013196,           0.0097775,           0.0097775,           0.0097775
                  34,            0.042333,             0.14391,            0.012858,             0.94524,             0.27316,             0.39643,             0.27395,            0.037926,            0.097159,            0.013617,           0.0097635,           0.0097635,           0.0097635
                  35,            0.042336,             0.14247,            0.012095,              0.8332,             0.28408,             0.40995,             0.27419,            0.037803,             0.10103,            0.013278,           0.0097491,           0.0097491,           0.0097491
                  36,            0.041839,             0.14505,             0.01232,             0.84155,             0.30618,             0.42967,             0.29425,             0.03677,              0.0964,            0.012575,           0.0097343,           0.0097343,           0.0097343
